English,Indonesia
I didn't even know that you knew how to speak French.,Aku bahkan tidak tahu kalau kau tahu bagaimana caranya berbicara dalam bahasa Perancis.
"I don't want to get married, but I want to have kids.","Aku tidak mau menikah, tapi aku mau punya anak."
I met Tom just the other day in front of the station.,Waktu lalu saya bertemu Tom di depan stasiun.
I thought a cup of coffee might make you feel better.,Secangkir kopi akan membuatmu merasa lebih baik.
I wish girls found me as attractive as they find Tom.,Aku harap para perempuan menganggapku tampan seperti Tom.
It seems unlikely that the train will arrive on time.,Sepertinya kereta tidak akan datang tepat waktu.
It took a lot of time and money to build the machine.,Banyak waktu dan biaya telah dihabiskan untuk membuat mesin itu.
It wasn't that hard to find a pair of shoes that fit.,Menemukan sepasang sepatu yang muat tidaklah sesusah itu.
It's been a long time since I visited my grandmother.,Sudah lama sejak saya mengunjungi nenek saya
Let's find a solution that is acceptable to everyone.,Mari cari solusi yang bisa diterima semua orang.
"No matter how cold it was, he never wore an overcoat.","Tidak peduli sedingin apa, dia tidak pernah mengenakan mantel."
Our plane landed in Boston just before the storm hit.,Pesawat kami mendarat di Boston tepat sebelum badai menghantam.
"Seen from the plane, the island looks very beautiful.","Dilihat dari pesawat, pulau itu terlihat indah sekali."
Several gardeners look after the azaleas in the park.,Beberapa tukang kebun merawat bunga azalea in taman.
She must have been very beautiful when she was young.,Dia pasti sangat cantik ketika muda.
She's not from here. She was born in another country.,Dia tidak berasal dari sini. Dia lahir di negara lain.
The bank came through with the loan we had requested.,Bank itu memberikan pinjaman yang kami minta.
The boy fell off the bicycle and fractured his skull.,Anak laki-laki itu jatuh dari sepeda dan tempurung kepalanya retak.
The dog hid under the bed whenever lightning flashed.,Anjing itu bersembunyi tiap kali kilat menyambar.
The only weapons I have in my home are water pistols.,Satu-satunya senjata yang ada di rumahku hanyalah pistol air.
The police caught sight of the criminal running away.,Polisi melihat pelaku kriminal itu melarikan diri.
The teacher didn't mind explaining the problem again.,Guru itu tidak keberatan menjelaskan persoalan itu lagi.
The teacher is likely to get angry with the students.,Guru itu mudah sekali menjadi marah dengan murid-muridnya.
The traffic jam caused me to be late for the meeting.,Kemacetan lalu lintas menyebabkanku terlambat untuk meeting/pertemuan.
There are still a lot of things that have to be done.,Masih ada banyak hal yang harus dilakukan.
There's nothing I like as much as the smell of roses.,Tidak ada yang aku suka sebanyak aku suka wangi bunga mawar.
They did not like the way he gave orders to everyone.,Mereka tidak senang dengan caranya memberikan perintah.
Tom and Mary have been married for about three years.,Tom dan Mary telah menikah selama kurang lebih 3 tahun.
Tom died of rabies after having been bitten by a bat.,Tom meninggal akibat rabies setelah tergigit kelelawar.
Tom has been putting aside a little money each month.,Tom menyisihkan sebagian uangnya tiap bulan.
Tom might not have enough money to buy what he needs.,Tom mungkin tidak punya cukup uang untuk membeli apa yang ia butuhkan.
Tom said that he thought Mary didn't enjoy the movie.,Tom bilang kalau dia mengira Mary tidak menikmati filmnya.
We kept on working for hours without eating anything.,Kami terus bekerja selama berjam-jam tanpa memakan apa pun.
We kept on working for hours without eating anything.,Kami tetap bekerja berjam-jam tanpa makan apa pun.
"When the police arrived, the thieves had disappeared.","Ketika polisi tiba, para pencuri telah melarikan diri."
You should pack a couple of extra changes of clothes.,Kamu harus menyiapkan pakaian ganti lebih.
Blow out all the candles on the birthday cake at once.,Tiup semua lilin diatas kue ulang tahun dalam sekali tiup.
Do you really think that I'm going to let you do that?,Kamu pikir aku akan membiarkanmu melakukan itu?
"Generally speaking, men can run faster than women can.","Pada umumnya, laki-laki berlari lebih cepat daripada perempuan."
"Gold, bauxite, and diamonds are Guinea's main exports.","Emas, bauksit, dan intan adalah produk ekspor utama Guinea."
I can't let you do that and that's all there is to it.,Aku tidak bisa membiarkanmu melakukannya. Titik.
I can't play it from memory. Please give me the music.,Aku tidak bisa memainkannya melalui ingatan. Tolong mainkan musiknya.
I couldn't bring myself to see the horror movie again.,Aku tidak bisa menonton film horor itu lagi.
I have a couple of friends who used to live in Boston.,Aku punya beberapa teman yang dulunya tinggal di Boston.
I suspect that Tom doesn't do his homework by himself.,Aku menduga kalau Tom tidak mengerjakan PRnya sendiri.
"I tried to call you last night, but you didn't answer.","Aku mencoba meneleponmu semalam, tapi kamu tidak menjawab."
I was searched by the customs officers at the airport.,Saya diperiksa badan oleh petugas Bea dan Cukai di bandar udara.
I'm not leaving until you tell me what I want to know.,Aku tidak akan pergi sampai kau memberitahuku apa yang ingin ku ketahui.
I've been subscribing to that magazine for four years.,Aku sudah berlangganan majalah itu selama empat tahun.
I've lost my fountain pen. I have to buy one tomorrow.,Aku kehilangan penaku. Aku harus membeli satu lagi besok.
"If I had been rich, I would have given you some money.","Jika saya kaya, saya akan memberimu uang."
"In my city, there is no school for learning Esperanto.",Di kota saya tidak ada sekolah untuk belajar bahasa Esperanto.
It is hard for the couple to live together any longer.,Sulit bagi pasangan tersebut untuk tinggal bersama lebih lama lagi.
My parents told me that we should respect the elderly.,Orang tuaku memberitahuku bahwa kita harus menghormati orang yang lanjut usia.
The least talented player will be kicked off the team.,Pemain yang paling tidak berbakat akan dikeluarkan dari tim.
There's a swimming pool not too far from where I live.,Tidak jauh dari tempat tinggalku ada kolam renang.
"They survived, even though the building was destroyed.",Mereka berhasil selamat meskipun bangunannya telah hancur.
This is the most beautiful lake that I have ever seen.,Ini adalah danau terindah yang pernah aku lihat.
Tom continued to study French for another three years.,Tom melanjutkan mempelajari bahasa Prancis hingga tiga tahun ke depan.
Tom grew to love the stray dog that followed him home.,Tom mulai menyukai anjing liar yang mngikutinya sampai ke rumah.
Tom has to go shopping with his mother this afternoon.,Tom harus pergi berbelanja dengan ibunya siang ini.
Tom noticed Mary's car parked in front of the library.,Tom menyadari mobil Mary yang diparkir di depan perpustakaan.
Tom put off his wedding because of a traffic accident.,Tom membatalkan pernikahannya karena kecelakaan lalu-lintas.
Tom said that he didn't believe you'd do that for him.,Tom berkata dia tidak percaya Anda melakukan itu untuknya.
Tom squatted down to put something on the lower shelf.,Tom berjongkok untuk menaruh sesuatu di rak bawah.
"Tom tried his best to get here, but he didn't make it.","Tom berusaha sekeras mungkin untuk bisa sampai ke sini, tapi dia tidak berhasil."
What are the animals that you can see in this picture?,Hewan-hewan apa saja yang bisa Anda lihat di gambar ini?
"""I'm moving to Boston next week."" ""I miss you already.""","""Aku akan pindah ke Boston minggu depan."" ""Aku akan merindukanmu."""
"""Tom likes Mary."" ""I think that's obvious to everyone.""","""Tom suka pada Mary."" ""Aku pikir itu sudah jelas bagi semuanya."""
"Because of a traffic jam, we were late for the meeting.",Karena kemacetan lalu lintas kami terlambat untuk meeting/pertemuan.
"Black or white, a cat that catches mice is a great cat.","Entah hitam atau putih, seekor kucing yang menangkap tikus adalah kucing yang bagus."
Here is our answer to your fax message dated April 1st.,Ini adalah jawaban kami untuk pesan faks Anda pada tanggal 1 April.
I don't suppose you'd still have last Saturday's paper?,Mungkinkah anda masih memiliki koran Sabtu kemarin?
"I want to ask, what is your name and where do you live?","Saya hendak bertanya, siapa namamu dan di mana kamu tinggal?"
I'll need at least three days to translate that thesis.,Aku membutuhkan waktu paling tidak tiga hari untuk menerjemahkan tesis itu.
I'm afraid I can't help you. You must ask someone else.,Maaf saya tidak bisa membantu Anda. Tolong mintalah kepada yang lain.
I'm supposed to meet Tom in Boston next Monday at 2:30.,Saya seharusnya bertemu Tom di Boston Senin depan pada 2:30.
I've already waited two hours. I can't wait any longer.,Saya sudah menunggu selama dua jam. Saya tidak bisa menunggu lebih lama lagi.
Is there something in particular that you want to hear?,Apakah ada sesuatu hal yang ingin kau ketahui?
It sounds like having time alone has been good for you.,Kedengarannya menghabiskan waktu seorang diri selalu menyenangkan bagimu.
Little did she dream that her son would commit suicide.,Tidak pernah ia bermimpi kalau anaknya akan bunuh diri.
"Maybe that's what Tom would do, but I wouldn't do that.","Mungkin itu apa yang Tom akan lakukan, tetapi saya tidak mungkin pernah melakukan hal itu."
My father told me about his experiences during the war.,Ayah menceritakan padaku pengalaman-pengalamannya selama masa perang.
So difficult was the question that no one could answer.,Pertanyaannya sesulit itu hingga tiada siapapun mampu menjawabnya.
"That may mean nothing to you, but it means a lot to me.","Mungkin itu tidak berarti apa-apa bagimu, tetapi itu sangat berarti bagiku."
The Taj Mahal is one of the seven wonders of the world.,Taj Mahal adalah salah satu dari tujuh keajaiban dunia.
The noise of the heavy traffic kept me awake all night.,Kebisingan dari jalanan yang padat membuatku terjaga sepanjang malam.
The number of people suffering from AIDS has increased.,Jumlah penderita AIDS semakin bertambah.
Tom accepted Mary's invitation to have dinner with her.,Tom menerima undangan Mary untuk makan malam bersamanya.
Tom certainly wasn't at home when we went to visit him.,Tom benar-benar tidak ada di rumah saat kami datang mengunjunginya.
Tom hasn't slept at all since the day before yesterday.,Tom belum tidur sama sekali sejak kemarin lusa.
Tom read the note from Mary and then handed it to John.,Tom membaca catatan dari Mary dan menyerahkannya kepada John.
Tom tried to convince Mary that the plan wouldn't work.,Tom mencoba meyakinkan Mary bahwa rencana itu tidak akan berhasil.
Tom wondered what could have made Mary change her mind.,Tom penasaran akan apa yang telah membuat Mary berubah pikiran.
We have to transmit our culture to the next generation.,Kita harus mewariskan budaya kita pada generasi berikutnya.
"When he got to the station, the train had already left.","Ketika dia sampai stasiun, keretanya telah berangkat."
You have to unpack your luggage for customs inspection.,Anda harus membuka barang bawaan anda untuk pemeriksaan pabean.
You should concentrate on the road when you're driving.,Anda harus berkonsentrasi pada jalan saat anda menyetir.
You'll save yourself a lot of time if you take the car.,Kau akan menghemat banyak waktu jika menggunakan mobil.
A rush-hour traffic jam delayed my arrival by two hours.,Pada jam sibuk kemacetan memperlambat kedatangan saya selama dua jam.
African elephants have bigger ears than Asian elephants.,Gajah Afrika memiliki telinga lebih besar dibandingkan gajah Asia.
All but three of the cars in the parking lot were white.,"Semua mobil yang ada di tempat parkir berwarna putih, kecuali tiga mobil."
"As far as I know, Tom has never tried to commit suicide.","Sejauh yang saya tahu, Tom tidak pernah mencoba membunuh diri."
Customs officials carried out a full body search on Tom.,Petugas Bea dan Cukai melakukan pemeriksaan badan terhadap Tom.
Do you have anything in the refrigerator that I can eat?,Kamu punya sesuatu yang bisa aku makan di kulkas?
Don't hesitate to ask questions if you don't understand.,Jangan ragu untuk menanyakan pertanyaan jika tidak mengerti.
He asked us if we could draw a map of the United States.,Dia bertanya pada kami apakah kami bisa menggambar peta Amerika Serikat
He claimed that he had returned the book to the library.,Dia mengatakan kalau dia sudah mengembalikan bukunya ke perpustakaan.
He said he would run 200 kilometers in a day and he did.,Dia bilang dia ingin lari 200 kilometer dalam sehari dan dia melaksanakannya.
He took a chance investing his money in the new company.,Dia mencoba berinvestasi di perusahaan baru tersebut.
He took a deep breath before entering his boss's office.,Dia menarik napas panjang sebelum memasuki kantor bosnya.
He who thinks he has learned enough has learned nothing.,"Dia yang berfikir telah cukup belajar, maka dia tidak belajar apapun."
How long do you think it takes to go from here to Tokyo?,Menurutmu dari sini sampai Tokyo akan memakan waktu berapa lama?
"I did so, not because I wanted to, but because I had to.","Aku melakukannya bukan karena ingin, tetapi karena harus."
I didn't know that you were going to ask Tom to do that.,Aku tidak tahu bahwa kamu akan meminta Tom melakukan itu.
I heard her speaking English as fluently as an American.,Saya mendengarnya berbicara dengan bahasa Inggris dengan lancar seperti orang Amerika.
I plan to go to bed as soon as all these people go home.,Aku berencana pergi tidur segera setelah orang-orang ini pulang.
I think it's dangerous for children to play in the pond.,Kurasa berbahaya bagi anak-anak bermain di kolam.
I think we've finally found the solution to the problem.,Aku rasa kita sudah menemukan solusi untuk masalah ini.
I used to go to the beach every summer when I was a kid.,Saya sering pergi ke pantai setiap musim panas ketika aku masih anak-anak
I've always wondered what it'd be like to have siblings.,Aku selalu penasaran seperti apa jadinya kalau memiliki saudara.
"If you don't want to miss the train, you'd better hurry.","Kalau kamu tidak mau ketinggalan kereta, lebih baik kamu bergegas."
"If you don't want to miss the train, you'd better hurry.","Jika Anda tidak ingin ketinggalan kereta, sebaiknya Anda bergegas."
It was in this room that we had the meeting last Friday.,Hari Jumat lalu kami rapat di ruangan ini.
It was in this room that we had the meeting last Friday.,Hari Jumat lalu kita rapat di ruangan ini.
"No matter where you go in Holland, you'll see windmills.","Ke mana pun kau pergi di Belanda, kau akan melihat kincir angin."
She makes it a rule to read a newspaper after breakfast.,Dijadikan peraturan baginya untuk membaca surat kabar setelah sarapan.
"Since he was very drunk, he couldn't drive his car home.","Karena ia sangat mabuk, ia tidak bisa mengemudikan mobilnya menuju rumahnya."
The United States's economy is the largest in the world.,Perekonomian Amerika Serikat adalah yang terbesar di dunia.
The cheap prices tempted me to buy things I didn't need.,Harga yang murah membuatku membeli barang-barang yang tidak aku perlukan.
The procedure must be executed correctly and completely.,Prosedurnya harus dijalankan secara tepat dan menyeluruh.
The two politicians met face to face for the first time.,Kedua politikus itu bertatap muka untuk pertama kalinya.
You have only to ask for it and it will be given to you.,Kau hanya perlu memintanya dan itu akan diberikan kepadamu.
You shouldn't lose your patience when dealing with kids.,Anda tidak boleh kehilangan kesabaran Anda ketika menangani anak-anak.
Do you believe our destinies are controlled by the stars?,Percayakah anda bahwa takdir-takdir kita dipengaruhi oleh bintang-bintang?
Do you know why Tom wasn't at the meeting this afternoon?,Apa kamu tahu kenapa Tom tidak hadir pada rapat tadi siang?
Do you know why Tom wasn't at the meeting this afternoon?,Apakah kamu tahu mengapa Tom tidak hadir di rapat siang ini?
Don't hesitate to ask a question if you don't understand.,Jangan ragu untuk menanyakan pertanyaan jika tidak mengerti.
"Excuse me, but could you tell me the way to the bus stop?","Permisi, bisa beritahu jalan ke halte bis?"
"First, I can't go. Second, I wouldn't go even if I could.","Pertama, saya tidak bisa pergi. Kedua, saya tidak akan pergi sekalipun saya bisa."
"He used to eat out every day, but now he can't afford it.","Dia biasanya makan di luar setiap hari, tapi sekarang dia tidak bisa."
I came to this country for the purpose of studying music.,Saya datang ke negeri ini untuk mempelajari tentang musik.
I can honestly say this is the best coffee I've ever had.,"Kalau boleh jujur, ini adalah kopi terbaik yang pernah aku minum."
I had trouble finding my way back to my hotel last night.,Aku kesulitan menemukan jalan pulang ke hotelku tadi malam.
"I spoke to the boy, who seemed to be older than the girl.","saya berbicara dengan anak laki-laki itu, yang tampaknya lebih tua dibandingkan anak perempuan"
I think Tom and Mary have fallen in love with each other.,Menurutku Tom dan Mary saling jatuh cinta.
I wish I could figure out how to convince Tom to help us.,Aku harap aku dapat menemukan cara untuk membuat Tom membantu kami.
Japan is trying to cope with the aging of its population.,Jepang berusahan mengatasi penuaan pada populasinya.
Let's get a picture of us with the sea in the background.,Mari kita berfoto di depan laut.
The company will advertise its new product on television.,Perusahaan itu mengiklankan produk barunya di televisi.
The students didn't remember what they read in that book.,Murid-murid tidak ingat apa yang telah mereka baca di buku tersebut.
The students must not enter the teachers' room this week.,Para siswa dilarang memasuki ruangan guru minggu ini.
Tom has always been a very easy person to get along with.,Sangat mudah untuk bergaul dengan Tom.
Tom is the only one on this island that can speak French.,Tom satu-satunya yang bisa berbahasa Prancis di pulau ini.
Tom made a promise to Mary that he would never leave her.,Tom berjanji kepada Mary untuk tidak meninggalkannya.
Tom married Mary's sister and Mary married Tom's brother.,Tom menikahi adiknya Mary dan Mary menikahi kakaknya Tom.
Tom never fails to send a birthday present to his father.,Tom tidak pernah salah/lupa mengirim hadiah ulang tahun pada ayahnya.
Tom took off his wedding ring and threw it into the pond.,Tom melepas cincin pernikahannya dan membuangnya ke kolam.
"Tom tried to remember the doctor's name, but he couldn't.","Tom berusaha mengingat nama dokter itu, tetapi tidak bisa."
Tom was just about to say something when the door opened.,Tom hendak mengatakan sesuatu ketika pintunya terbuka.
Tom wasn't allowed to visit his father who was in prison.,Tom tidak diperbolehkan mengunjungi ayahnya yang ada di penjara.
Walking in the moonlight is a romantic way to end a date.,Berjalan di bawah sinar rembulan adalah cara romantis untuk mengakhiri kencan.
What does it matter how they bring up their own children?,Adakah masalah dengan cara mereka membesarkan anak-anaknya?
Which air conditioner do you think is the most efficient?,"Menurut Anda, pendingin ruangan apa yang paling efisien?"
"You have wanted to go there for a long time, haven't you?",Kamu sudah dari dulu ingin kesana bukan?
"You may stay here if you like, as long as you keep quiet.","Kamu bisa di sini terus, asalkan kamu tetap diam."
You will save yourself a lot of time if you take the car.,Kau akan menghemat banyak waktu jika menggunakan mobil.
All the members were not present at the meeting yesterday.,Semua anggota tidak menghadiri rapat kemarin.
Be careful not to drive the wrong way on a one-way street.,Hati-hati jangan salah jalan pada jalur satu arah.
He suddenly hit on a good idea while he was taking a bath.,Dia tiba-tiba mendapatkan ide yang bagus saat sedang mandi.
"Hey, Tom, you've gotten a lot taller since I last saw you.","Hei, Tom, kau sudah jauh lebih tinggi dibanding terakhir kali aku melihatmu."
I can't approve the project. It leaves much to be desired.,Saya tidak bisa menyetujui proyek ini. Masih banyak hal yang tidak memuaskan.
"I knew he was angry, but I didn't think he was that angry.","Aku tahu dia marah, tapi aku tidak berfikir bahwa dia semarah itu."
I was the only one who didn't know Tom had been in prison.,Saya satu-satunya orang yang tidak tahu Tom telah dipenjara.
I'm not the only one here who thinks Tom isn't a nice guy.,Bukan cuma aku saja yang berpikir bahwa Tom bukanlah orang yang baik.
"I've never been to New York, and my sister hasn't, either.","Aku belum pernah ke New York, dan kakakku juga belum."
"I've never visited Kagoshima, but I intend to this summer.","Aku belum pernah mengunjungi Kagoshima, tapi aku berniat ke sana musim panas tahun ini."
"If you turn here, you can probably avoid a lot of traffic.","Kalau kamu belok ke sini, mungkin kamu bisa terhindar dari kemacetan."
"In the near future, we will be able to put an end to AIDS.",Dalam waktu dekat ini kita akan mampu mengobati AIDS
Japan is one of the greatest economic powers in the world.,Jepang adalah salah satu kekuatan ekonomi terbesar di dunia.
Many roads are flooded. As a result there are long delays.,Beberapa jalan raya banjir. Akibatnya terdapat penundaan yang lama.
"Mary has nobody to talk with, but she doesn't feel lonely.","Mary tidak punya teman bicara, tapi dia tidak merasa kesepian."
Nobody I know goes there anymore because it's too crowded.,Tidak ada kenalan saya yang pergi kesana lagi karena disana terlalu ramai.
One constellation that most people know is the Big Dipper.,Salah satu rasi bintang yang diketahui kebanyakan orang adalah Bintang Biduk.
The island is covered with ice and snow during the winter.,Pulau itu tertutup es dan salju selama musim dingin.
This is the first time we've given a concert in Australia.,Ini kali pertama kami mengadakan konser di Australia.
Tom doesn't know whether Mary is telling the truth or not.,Tom tidak mengetahui apakah Mary berkata sejujurnya atau tidak.
Tom is the only one in our family who's been to Australia.,Tom satu-satunya di keluarga kami yang pernah pergi ke Australia.
Tom practices the piano at least thirty minutes every day.,Tom berlatih piano sekurang-kurangnya tiga puluh menit setiap hari.
We learned about the importance of eating a healthy lunch.,Kami mempelajari tentang pentingnya memakan makan siang yang sehat.
We want to make absolutely sure that Tom wants to do that.,Kami ingin memastikan bahwa Tom ingin melakukannya.
"When I arrived at the station, the train had already left.","Ketika saya sampai stasiun, keretanya telah berangkat."
"While I was waiting for the bus, I saw a traffic accident.","Saat aku sedang menunggu bus, aku melihat kecelakaan lalu lintas."
Antares is the brightest star in the constellation Scorpio.,Antares adalah bintang paling terang di rasi bintang Skorpio.
Are you going to tell Tom that you've spent time in prison?,Akankah kau katakan pada Tom bahwa kamu pernah dipenjara?
Do you really think I'd rather live in Boston than Chicago?,Apa kamu benar-benar mengira kalau aku lebih memilih tinggal di Boston ketimbang Chicago?
"Even though I'm sitting here in the sun, I still feel cold.","Walaupun saya duduk di bawah sinar matahari, saya tetap merasa dingin."
How many times a day do you look at yourself in the mirror?,Berapa kali sehari kamu bercermin?
How much time does the average teenager watch TV every day?,Berapa banyak waktu yang dihabiskan oleh remaja pada umumnya untuk melihat TV setiap harinya?
I can't believe your parents let you come here by yourself.,Aku tak percaya orang tuamu membiarkan kamu pergi kesini sendiri.
I never thought he was capable of doing something so cruel.,Saya tidak menyangka ia bisa berbuat sekejam itu
I thought we'd never get out of the burning building alive.,Kukira kita tidak akan pernah keluar dari bangunan yang terbakar itu hidup-hidup.
Mary always assists her boyfriend in doing his assignments.,Mary selalu membantu pacarnya mengerjakan tugas.
Mary's stew was so delicious that Tom had a second helping.,Rebusan Mary sangat enak sampai-sampai Tom minta tambah.
Such things often happen by accident rather than by design.,Hal semacam itu seringkali terjadi karena kecelakaan ketimbang direncanakan.
The fog was so thick that I couldn't see where I was going.,Kabutnya begitu tebal sampai-sampai aku tidak tahu kemana aku pergi.
The local train is less comfortable than the express train.,kereta dalam kota kurang nyaman di bandingkan dengan kereta cepat
The mouse was lured into the trap by a big piece of cheese.,Tikus itu diperangkap ke dalam jebakan dengan potongan keju besar.
Tom couldn't control himself when he saw Mary kissing John.,Tom tidak dapat mengendalikan dirinya ketika Mary mencium John.
"Tom didn't like the look of his nose, so he had a nose job.","Tom tidak suka dengan penampilan hidungnya, jadi dia melakukan operasi plastik."
Would you like a glass of orange juice with your breakfast?,Apa Anda ingin segelas jus jeruk sebagai pendamping makan pagi Anda.
"Zamenhof, the creator of Esperanto, was an ophthalmologist.","Zamenhof, pencipta bahasa Esperanto, adalah seorang pakar oftalmologi."
A time bomb went off in the airport killing thirteen people.,Bom waktu yang meledak di dalam bandara itu menewaskan tiga belas orang.
Be sure to look over your paper again before you hand it in.,Pastikan kau mengecek kembali lembaranmu sebelum kau menyerahkannya.
"Fortunately, today Tom is much better than he was yesterday.","Sayangnya, hari ini Tom jauh lebih baik daripada kemarin."
I make it a rule not to watch television after nine o'clock.,Saya membuat aturan untuk tidak menonton televisi setelah jam sembilan.
"If it hadn't been for the storm, we would have been in time.","Jika bukan karena badai, kami pasti bisa datang tepat waktu."
"If there's a cheap kanji dictionary in Japan, I will buy it.","Jika ada kamus kanji yang murah di Jepang, aku akan membelinya."
Los Angeles is the second largest city in the United States.,Los Angeles adalah kota terbesar kedua di Amerika Serikat.
Tom found it difficult to make himself understood in French.,Tom mengalami kesulitan saat berkomunikasi dalam bahasa Prancis.
Tom thinks his country is the greatest country in the world.,Tom mengira negaranya adalah yang terbaik di seluruh dunia.
Tom was looking for place to eat that had reasonable prices.,Tom mencari tempat makan dengan harga yang terjangkau.
Tom will be driving through Boston on his way to visit Mary.,Tom dengan mobilnya akan pergi melewati Boston dalam perjalanan mengunjungi Mary.
When was the last time you had to remind me to do something?,Kapan terakhir kali kamu harus mengingatkanku untuk melakukan sesuatu?
"You can lie to everyone else, but you can't lie to yourself.",Kamu bisa bohong pada orang lain tetapi kamu tidak bisa bohong pada diri sendiri.
You must not leave her waiting outside in such cold weather.,Jangan buat ia menunggu di luar dengan cuaca yang sedingin ini.
Do you want to go with me or do you prefer I call you a taxi?,Kamu mau pergi denganku atau mau aku panggilkan taksi saja?
"Due to my lumbago, I won't be able to attend Koizumi's party.","Karena sakit punggungku kambuh, aku tidak bisa menghadiri pestanya Koizumi."
I'd like to stick around a little longer to see what happens.,Aku akan di sini sebentar untuk melihat apa yang terjadi.
Japanese houses are built of wood and they catch fire easily.,"Rumah-rumah orang Jepang terbuat dari kayu, sehingga rentan untuk terbakar."
"Just by looking at your face, I know that you have good news.","Dengan melihat mukamu saja, Saya tau bahwa kamu mempunyai berita bagus."
Please mail this letter on your next trip to the post office.,Tolong kirimkan surat ini pada kesempatan berikutnya ke kantor pos.
She was in the hospital for six weeks because of her illness.,Dia berada di rumah sakit selama enam minggu karena sakitnya
Some dog owners wonder if they are feeding their dogs enough.,"Para pemelihara anjing berpikir, apakah mereka telah memberi makan anjingnya dengan mencukupi."
The African elephant has bigger ears than the Asian elephant.,Gajah Afrika memiliki telinga lebih besar dibandingkan gajah Asia.
The next-door neighbor looked out the window when Tom yelled.,Tetangga sebelah melihat ke luar jendela saat Tom berteriak.
There was a traffic accident in front of the house yesterday.,Kemarin telah terjadi kecakaan didepan rumah saya.
They say that the Vikings discovered America before Columbus.,Ada yang bilang kalau bangsa Viking lebih dulu menemukan benua Amerika sebelum Columbus.
This airplane is capable of carrying 40 passengers at a time.,Pesawat ini mampu menampung 40 orang penumpang sekali terbang.
This program has both downloading and uploading capabilities.,Program ini memiliki kemampuan baik mengunduh maupun mengunggah.
This program has both downloading and uploading capabilities.,Program ini memiliki kemampuan mengunduh dan mengunggah.
Tom asked Mary to tell him where she had hidden the diamonds.,Tom meminta Mary memberi tahu dirinya di mana dia menyembunyikan berliannya.
Tom came to Boston with his parents when he was really young.,Tom datang ke Boston bersama orang tuanya saat dia masih sangat muda.
Tom denied that he was the one who'd killed the prison guard.,Tom menyangkal pernyataan ia yang membunuh penjaga penjara.
Tom doesn't think he'll be able to finish the job by himself.,Tom tidak berpikir kalau dia akan bisa menyelesaikan tugas itu seorang diri.
Tom just didn't want to tell Mary. He didn't mind telling me.,Tom hanya tidak ingin memberi tahu Mary. Dia tidak keberatan memberitahuku.
Tom meets his girlfriend at this coffee shop every afternoon.,Tom menemui pacarnya di kafe siang ini.
Were you the one who told Tom that he could probably do that?,Apa kamu yang memberi tahu Tom kalau dia bisa saja melakukannya?
Burj Khalifa is currently the tallest skyscraper in the world.,Burj Khalifa adalah bangunan pencakar langit tertinggi di dunia saat ini.
He was popular with girls because he was on the football team.,Dia terkenal dikalangan wanita kerena dia pemain sepakbola.
I wouldn't have been able to finish the job without your help.,Aku tidak akan bisa menyelesaikan pekerjaan ini tanpa bantuanmu.
Japan is now very different from what it was twenty years ago.,Sekarang Jepang sangat berbeda dengan Jepang dua puluh tahun yang lalu.
She greets him every morning as he enters the school building.,"Ia menyapanya setiap pagi, saat dia memasuki bangunan sekolah."
Tom lives in a three-bedroom house on the outskirts of Boston.,Tom tinggal di sebuah rumah dengan tiga kamar di pinggiran kota Boston.
"When his wife died, he received dozens of letters of sympathy.","Ketika istrinya meninggal dunia, dia menerima belasan surat belasungkawa."
You're the one person I can rely on in this kind of situation.,Kau adalah orang yang bisa kuandalkan dalam keadaan seperti ini.
How do you think I can convince her to spend more time with me?,Bagaimana menurutmu cara agar aku bisa membujuknya menghabiskan lebih banyak waktu bersamaku?
"I didn't want the baby to catch a cold, so I closed the window.",Aku menutup jendelanya supaya bayinya tidak terkena pilek.
I guess Tom didn't get around to painting the barn last summer.,Aku rasa musim panas lalu Tom tidak menemukan waktu untuk mengecat lumbungnya.
I will have obtained a driver's license by the end of the year.,Aku akan mendapat SIM akhir tahun ini.
"If Tom would smile more often, he'd probably have more friends.","Jika Tom lebih sering tersenyum, dia mungkin akan memiliki lebih banyak teman."
"In order to buy a ticket, you'll have to wait at least an hour.","Untuk bisa membeli sebuah tiket, Anda harus menunggu paling tidak satu jam."
Lots of religious songs in Ladino are translations from Hebrew.,Banyak dari lagu religi di Ladino yang merupakan terjemahan dari bahasa Ibrani.
No inequality should be allowed to exist between men and women.,Tidak boleh ada kesenjangan apapun antara laki-laki dan perempuan.
Only through protest can a free and open society be maintained.,Hanya melalui protes saja sebuah masyarakat yang bebas dan terbuka bisa terpelihara.
Tom told me that he thought that he was going to die in prison.,Tom bilang padaku dia rasa dia akan mati di penjara.
"After inventory, there was a net balance of three hundred pesos.","Setelah dilakukan inventarisasi, terdapat saldo bersih sebesar tiga ratus peso."
At that altitude the weather can change rapidly without warning.,Pada ketinggian itu cuaca dapat berubah secara cepat tanpa peringatan.
I changed my mind about dinner. I'm not really hungry right now.,"Soal makan malam, aku berubah pikiran. Aku tidak begitu lapar saat ini."
I don't think I can get you to understand how difficult that is.,Aku tidak berpikir bahwa aku bisa membuatmu memahami betapa sulitnya itu.
I'd like to talk to you about what happened at school yesterday.,Saya ingin berbicara dengan Anda tentang apa yang kemarin terjadi di sekolah.
"If you've been drinking, perhaps your spouse can drive you home.","Kalau kau tadi banyak minum, mungkin lebih baik kau meminta istrimu untuk mengantarmu pulang."
